,,,,,,,
2,AK,AL,Don Young,R,Yes,TBD,7
185,MA,5,Katherine Clark,D,Yes,TBD,1
186,MA,6,Seth Moulton,D,Yes,TBD,1
187,MA,7,Mike Capuano,D,Yes,TBD,1
188,MA,8,Stephen Lynch,D,Yes,TBD,1
189,MA,9,Bill Keating,D,Yes,TBD,1
190,MD,1,Andy Harris,R,Yes,Yes,7
191,MD,2,Dutch Ruppersberger,D,Yes,Yes,1
192,MD,3,John Sarbanes,D,Yes,Yes,1
193,MD,4,Anthony Brown,D,Yes,Yes,1
194,MD,5,Steny Hoyer,D,Yes,Yes,1
195,MD,6,John Delaney,D,No,NA,1
196,MD,7,Elijah Cummings,D,Yes,Yes,1
197,MD,8,Jamie Raskin,D,Yes,Yes,1
198,ME,1,Chellie Pingree,D,Yes,Yes,1
199,ME,2,Bruce Poliquin,R,Yes,Yes,4
200,MI,1,Jack Bergman,R,Yes,Yes,6
201,MI,2,Bill Huizenga,R,Yes,Yes,7
202,MI,3,Justin Amash,R,Yes,Yes,7
203,MI,4,John Moolenaar,R,Yes,Yes,7
204,MI,5,Dan Kildee,D,Yes,Yes,1
205,MI,6,Fred Upton,R,Yes,Yes,6
206,MI,7,Tim Walberg,R,Yes,Yes,6
207,MI,8,Mike Bishop,R,Yes,Yes,4
208,MI,9,Sander Levin,D,No,NA,1
209,MI,10,Paul Mitchell,R,Yes,Yes,7
210,MI,11,Dave Trott,R,No,NA,3
211,MI,12,Debbie Dingell,D,Yes,Yes,1
212,MI,13,VACANT (Con. special 11/6/18),D,No,NA,1
213,MI,14,Brenda Lawrence,D,Yes,Yes,1
214,MN,1,Tim Walz,D,No,NA,4
215,MN,2,Jason Lewis,R,Yes,Yes,4
216,MN,3,Erik Paulsen,R,Yes,Yes,4
217,MN,4,Betty McCollum,D,Yes,Yes,1
218,MN,5,Keith Ellison,D,No,NA,1
219,MN,6,Tom Emmer,R,Yes,Yes,7
220,MN,7,Collin Peterson,D,Yes,Yes,2
221,MN,8,Rick Nolan,D,No,NA,4
222,MO,1,Lacy Clay,D,Yes,Yes,1
223,MO,2,Ann Wagner,R,Yes,Yes,6
224,MO,3,Blaine Luetkemeyer,R,Yes,Yes,7
